cod_ibge;municipio;ano;pop_urb;pop_rur;pop_tot;grau_urb
3500105;Adamantina;2000;30356;3128;33484;90,66
3500204;Adolfo;2000;3068;612;3680;83,37
3500303;Aguaí;2000;24664;3481;28145;87,63
3500402;Águas da Prata;2000;6072;1055;7127;85,2
3500501;Águas de Lindóia;2000;15420;725;16145;95,51
3500550;Águas de Santa Bárbara;2000;3868;1342;5210;74,24
3500600;Águas de São Pedro;2000;1881;0;1881;100
3500709;Agudos;2000;30668;1791;32459;94,48
3500758;Alambari;2000;2442;1205;3647;66,96
3500808;Alfredo Marcondes;2000;2671;1024;3695;72,29
3500907;Altair;2000;2548;979;3527;72,24
3501004;Altinópolis;2000;12532;2931;15463;81,05
3501103;Alto Alegre;2000;3021;1245;4266;70,82
3501152;Alumínio;2000;13713;1524;15237;90
3501202;Álvares Florence;2000;2658;1664;4322;61,5
3501301;Álvares Machado;2000;20061;2561;22622;88,68
3501400;Álvaro de Carvalho;2000;2431;1668;4099;59,31
3501509;Alvinlândia;2000;2428;406;2834;85,67
3501608;Americana;2000;181867;433;182300;99,76
3501707;Américo Brasiliense;2000;27552;644;28196;97,72
3501806;Américo de Campos;2000;4388;1206;5594;78,44
3501905;Amparo;2000;43286;17019;60305;71,78
3502002;Analândia;2000;2646;930;3576;73,99
3502101;Andradina;2000;50811;4323;55134;92,16
3502200;Angatuba;2000;13226;6050;19276;68,61
3502309;Anhembi;2000;3257;1267;4524;71,99
3502408;Anhumas;2000;2506;903;3409;73,51
3502507;Aparecida;2000;34366;522;34888;98,5
3502606;Aparecida d'Oeste;2000;3666;1270;4936;74,27
3502705;Apiaí;2000;16642;10511;27153;61,29
3502754;Araçariguama;2000;7208;3896;11104;64,91
3502804;Araçatuba;2000;164287;4800;169087;97,16
3502903;Araçoiaba da Serra;2000;13639;6119;19758;69,03
3503000;Aramina;2000;4139;617;4756;87,03
3503109;Arandu;2000;4019;2041;6060;66,32
3503158;Arapeí;2000;1897;718;2615;72,54
3503208;Araraquara;2000;173349;8891;182240;95,12
3503307;Araras;2000;97698;6326;104024;93,92
3503356;Arco-Íris;2000;1070;1097;2167;49,38
3503406;Arealva;2000;5242;1998;7240;72,4
3503505;Areias;2000;2450;1147;3597;68,11
3503604;Areiópolis;2000;8558;1735;10293;83,14
3503703;Ariranha;2000;6868;592;7460;92,06
3503802;Artur Nogueira;2000;30318;2647;32965;91,97
3503901;Arujá;2000;56389;2544;58933;95,68
3503950;Aspásia;2000;1177;687;1864;63,14
3504008;Assis;2000;83277;3858;87135;95,57
3504107;Atibaia;2000;96642;14391;111033;87,04
3504206;Auriflama;2000;11882;1624;13506;87,98
3504305;Avaí;2000;3197;1400;4597;69,55
3504404;Avanhandava;2000;8092;728;8820;91,75
3504503;Avaré;2000;72236;4076;76312;94,66
3504602;Bady Bassitt;2000;10207;1268;11475;88,95
3504701;Balbinos;2000;1061;251;1312;80,87
3504800;Bálsamo;2000;6333;1001;7334;86,35
3504909;Bananal;2000;7183;2524;9707;74
3505005;Barão de Antonina;2000;1649;1147;2796;58,98
3505104;Barbosa;2000;4872;961;5833;83,52
3505203;Bariri;2000;26016;2171;28187;92,3
3505302;Barra Bonita;2000;34490;949;35439;97,32
3505351;Barra do Chapéu;2000;1448;3398;4846;29,88
3505401;Barra do Turvo;2000;2876;5222;8098;35,51
3505500;Barretos;2000;98780;5049;103829;95,14
3505609;Barrinha;2000;23888;262;24150;98,92
3505708;Barueri;2000;207372;0;207372;100
3505807;Bastos;2000;17028;3545;20573;82,77
3505906;Batatais;2000;48218;2823;51041;94,47
3506003;Bauru;2000;309881;5612;315493;98,22
3506102;Bebedouro;2000;69897;4846;74743;93,52
3506201;Bento de Abreu;2000;1948;446;2394;81,37
3506300;Bernardino de Campos;2000;9320;1393;10713;87
3506359;Bertioga;2000;28918;853;29771;97,13
3506409;Bilac;2000;5367;715;6082;88,24
3506508;Birigui;2000;90823;3275;94098;96,52
3506607;Biritiba Mirim;2000;20716;3863;24579;84,28
3506706;Boa Esperança do Sul;2000;10734;1817;12551;85,52
3506805;Bocaina;2000;8525;894;9419;90,51
3506904;Bofete;2000;5218;2120;7338;71,11
3507001;Boituva;2000;32416;1824;34240;94,67
3507100;Bom Jesus dos Perdões;2000;11191;2084;13275;84,3
3507159;Bom Sucesso de Itararé;2000;1948;1273;3221;60,48
3507209;Borá;2000;623;172;795;78,36
3507308;Boracéia;2000;3280;456;3736;87,79
3507407;Borborema;2000;10842;2341;13183;82,24
3507456;Borebi;2000;1473;454;1927;76,44
3507506;Botucatu;2000;103818;4306;108124;96,02
3507605;Bragança Paulista;2000;110856;13910;124766;88,85
3507704;Braúna;2000;3415;967;4382;77,93
3507753;Brejo Alegre;2000;1779;527;2306;77,15
3507803;Brodowski;2000;16252;852;17104;95,02
3507902;Brotas;2000;16086;2752;18838;85,39
3508009;Buri;2000;13630;3965;17595;77,47
3508108;Buritama;2000;12625;1218;13843;91,2
3508207;Buritizal;2000;2904;771;3675;79,02
3508306;Cabrália Paulista;2000;3985;663;4648;85,74
3508405;Cabreúva;2000;25625;7301;32926;77,83
3508504;Caçapava;2000;66651;9376;76027;87,67
3508603;Cachoeira Paulista;2000;21638;5526;27164;79,66
3508702;Caconde;2000;11810;6557;18367;64,3
3508801;Cafelândia;2000;13053;2736;15789;82,67
3508900;Caiabu;2000;3113;962;4075;76,39
3509007;Caieiras;2000;68100;2725;70825;96,15
3509106;Caiuá;2000;1765;2418;4183;42,19
3509205;Cajamar;2000;47901;2667;50568;94,73
3509254;Cajati;2000;20959;8217;29176;71,84
3509304;Cajobi;2000;8352;818;9170;91,08
3509403;Cajuru;2000;18382;2373;20755;88,57
3509452;Campina do Monte Alegre;2000;4169;1026;5195;80,25
3509502;Campinas;2000;952003;16157;968160;98,33
3509601;Campo Limpo Paulista;2000;62061;1459;63520;97,7
3509700;Campos do Jordão;2000;43736;442;44178;99
3509809;Campos Novos Paulista;2000;2987;1192;4179;71,48
3509908;Cananéia;2000;10178;2089;12267;82,97
3509957;Canas;2000;3033;572;3605;84,13
3510005;Cândido Mota;2000;26514;2727;29241;90,67
3510104;Cândido Rodrigues;2000;1944;666;2610;74,48
3510153;Canitar;2000;2669;800;3469;76,94
3510203;Capão Bonito;2000;36585;10144;46729;78,29
3510302;Capela do Alto;2000;11082;3128;14210;77,99
3510401;Capivari;2000;33423;7970;41393;80,75
3510500;Caraguatatuba;2000;74972;3656;78628;95,35
3510609;Carapicuíba;2000;343962;0;343962;100
3510708;Cardoso;2000;10361;1250;11611;89,23
3510807;Casa Branca;2000;21617;5168;26785;80,71
3510906;Cássia dos Coqueiros;2000;1664;1206;2870;57,98
3511003;Castilho;2000;11957;2988;14945;80,01
3511102;Catanduva;2000;104118;1577;105695;98,51
3511201;Catiguá;2000;5911;641;6552;90,22
3511300;Cedral;2000;4973;1717;6690;74,33
3511409;Cerqueira César;2000;13037;2084;15121;86,22
3511508;Cerquilho;2000;27895;1507;29402;94,87
3511607;Cesário Lange;2000;8909;3956;12865;69,25
3511706;Charqueada;2000;11698;1316;13014;89,89
3511904;Clementina;2000;4953;446;5399;91,74
3512001;Colina;2000;14878;1778;16656;89,33
3512100;Colômbia;2000;4115;1832;5947;69,19
3512209;Conchal;2000;20266;2375;22641;89,51
3512308;Conchas;2000;11254;3619;14873;75,67
3512407;Cordeirópolis;2000;16027;1519;17546;91,34
3512506;Coroados;2000;3304;1107;4411;74,9
3512605;Coronel Macedo;2000;4012;1579;5591;71,76
3512704;Corumbataí;2000;1715;2073;3788;45,27
3512803;Cosmópolis;2000;42445;1805;44250;95,92
3512902;Cosmorama;2000;4306;3070;7376;58,38
3513009;Cotia;2000;148519;0;148519;100
3513108;Cravinhos;2000;27123;1226;28349;95,68
3513207;Cristais Paulista;2000;3893;2677;6570;59,25
3513306;Cruzália;2000;1595;1016;2611;61,09
3513405;Cruzeiro;2000;71133;2311;73444;96,85
3513504;Cubatão;2000;107488;647;108135;99,4
3513603;Cunha;2000;11135;11958;23093;48,22
3513702;Descalvado;2000;24109;4780;28889;83,45
3513801;Diadema;2000;356535;0;356535;100
3513850;Dirce Reis;2000;1076;549;1625;66,22
3513900;Divinolândia;2000;6874;5140;12014;57,22
3514007;Dobrada;2000;6504;502;7006;92,83
3514106;Dois Córregos;2000;20198;2286;22484;89,83
3514205;Dolcinópolis;2000;1809;342;2151;84,1
3514304;Dourado;2000;7832;766;8598;91,09
3514403;Dracena;2000;37145;3346;40491;91,74
3514502;Duartina;2000;10779;1691;12470;86,44
3514601;Dumont;2000;5857;436;6293;93,07
3514700;Echaporã;2000;5182;1640;6822;75,96
3514809;Eldorado;2000;6969;7155;14124;49,34
3514908;Elias Fausto;2000;10252;3613;13865;73,94
3514924;Elisiário;2000;2190;387;2577;84,98
3514957;Embaúba;2000;1978;499;2477;79,85
3515004;Embu;2000;207103;0;207103;100
3515103;Embu-Guaçu;2000;55599;1072;56671;98,11
3515129;Emilianópolis;2000;2191;702;2893;75,73
3515152;Engenheiro Coelho;2000;6986;3014;10000;69,86
3515186;Espírito Santo do Pinhal;2000;34726;5722;40448;85,85
3515194;Espírito Santo do Turvo;2000;3235;435;3670;88,15
3515202;Estrela d'Oeste;2000;6385;1873;8258;77,32
3515301;Estrela do Norte;2000;1787;839;2626;68,05
3515350;Euclides da Cunha Paulista;2000;6427;3780;10207;62,97
3515400;Fartura;2000;11374;3630;15004;75,81
3515509;Fernandópolis;2000;59091;2502;61593;95,94
3515608;Fernando Prestes;2000;4111;1320;5431;75,7
3515657;Fernão;2000;678;756;1434;47,28
3515707;Ferraz de Vasconcelos;2000;140687;1165;141852;99,18
3515806;Flora Rica;2000;1569;610;2179;72,01
3515905;Floreal;2000;2471;755;3226;76,6
3516002;Flórida Paulista;2000;8992;2126;11118;80,88
3516101;Florínia;2000;2636;490;3126;84,33
3516200;Franca;2000;281639;5523;287162;98,08
3516309;Francisco Morato;2000;132981;162;133143;99,88
3516408;Franco da Rocha;2000;100173;7710;107883;92,85
3516507;Gabriel Monteiro;2000;2051;673;2724;75,29
3516606;Gália;2000;5595;2267;7862;71,17
3516705;Garça;2000;36372;6773;43145;84,3
3516804;Gastão Vidigal;2000;2938;650;3588;81,88
3516853;Gavião Peixoto;2000;2747;1376;4123;66,63
3516903;General Salgado;2000;8745;2074;10819;80,83
3517000;Getulina;2000;7533;2835;10368;72,66
3517109;Glicério;2000;3094;1332;4426;69,91
3517208;Guaiçara;2000;8042;1137;9179;87,61
3517307;Guaimbê;2000;4265;941;5206;81,92
3517406;Guaíra;2000;32240;2334;34574;93,25
3517505;Guapiaçu;2000;11851;2198;14049;84,35
3517604;Guapiara;2000;7534;12178;19712;38,22
3517703;Guará;2000;17934;956;18890;94,94
3517802;Guaraçai;2000;6678;2210;8888;75,14
3517901;Guaraci;2000;7383;1453;8836;83,56
3518008;Guarani d'Oeste;2000;1733;272;2005;86,43
3518107;Guarantã;2000;4842;1473;6315;76,67
3518206;Guararapes;2000;26111;2711;28822;90,59
3518305;Guararema;2000;17678;4186;21864;80,85
3518404;Guaratinguetá;2000;99050;5051;104101;95,15
3518503;Guareí;2000;6075;4104;10179;59,68
3518602;Guariba;2000;30200;861;31061;97,23
3518701;Guarujá;2000;264156;79;264235;99,97
3518800;Guarulhos;2000;1046627;22982;1069609;97,85
3518859;Guatapará;2000;4140;2225;6365;65,04
3518909;Guzolândia;2000;3369;932;4301;78,33
3519006;Herculândia;2000;6819;1164;7983;85,42
3519055;Holambra;2000;3929;3266;7195;54,61
3519071;Hortolândia;2000;151697;0;151697;100
3519105;Iacanga;2000;7068;1207;8275;85,41
3519204;Iacri;2000;4797;1989;6786;70,69
3519253;Iaras;2000;1889;1155;3044;62,06
3519303;Ibaté;2000;25032;1346;26378;94,9
3519402;Ibirá;2000;8297;1143;9440;87,89
3519501;Ibirarema;2000;5091;608;5699;89,33
3519600;Ibitinga;2000;43779;2755;46534;94,08
3519709;Ibiúna;2000;21302;42918;64220;33,17
3519808;Icém;2000;5742;1024;6766;84,87
3519907;Iepê;2000;5959;1299;7258;82,1
3520004;Igaraçu do Tietê;2000;22371;225;22596;99
3520103;Igarapava;2000;24003;1885;25888;92,72
3520202;Igaratá;2000;5862;2409;8271;70,87
3520301;Iguape;2000;21920;5490;27410;79,97
3520400;Ilhabela;2000;20506;246;20752;98,81
3520426;Ilha Comprida;2000;6653;0;6653;100
3520442;Ilha Solteira;2000;23199;777;23976;96,76
3520509;Indaiatuba;2000;144228;2302;146530;98,43
3520608;Indiana;2000;4059;870;4929;82,35
3520707;Indiaporã;2000;3193;871;4064;78,57
3520806;Inúbia Paulista;2000;2764;554;3318;83,3
3520905;Ipaussu;2000;11020;1522;12542;87,86
3521002;Iperó;2000;12584;5705;18289;68,81
3521101;Ipeúna;2000;3431;890;4321;79,4
3521150;Ipiguá;2000;1936;1525;3461;55,94
3521200;Iporanga;2000;2076;2487;4563;45,5
3521309;Ipuã;2000;11179;676;11855;94,3
3521408;Iracemápolis;2000;14774;743;15517;95,21
3521507;Irapuã;2000;5425;1228;6653;81,54
3521606;Irapuru;2000;5634;1830;7464;75,48
3521705;Itaberá;2000;11094;7807;18901;58,7
3521804;Itaí;2000;16876;4130;21006;80,34
3521903;Itajobi;2000;10860;3360;14220;76,37
3522000;Itaju;2000;1642;993;2635;62,31
3522109;Itanhaém;2000;70851;843;71694;98,82
3522158;Itaóca;2000;2178;1054;3232;67,39
3522208;Itapecerica da Serra;2000;127827;1353;129180;98,95
3522307;Itapetininga;2000;111918;13396;125314;89,31
3522406;Itapeva;2000;60886;21887;82773;73,56
3522505;Itapevi;2000;161810;0;161810;100
3522604;Itapira;2000;57980;5329;63309;91,58
